# UTC Date    TIME   JUL    SEC
# YY  MM  DD  TIME   Day    Day       P>1          P>5          P>10         P>30         P>50        P>100
#===============================================================================================================
2024  02  09  1310  60349  47400  3.92501e+00  3.35007e-01  2.52007e-01  2.05007e-01  2.02007e-01  2.00007e-01
2024  02  09  1315  60349  47700  4.02967e+00  2.47673e-01  2.17673e-01  2.08673e-01  2.05673e-01  1.99673e-01
2024  02  09  1320  60349  48000  3.72734e+00  2.37339e-01  2.12339e-01  1.97339e-01  1.94339e-01  1.66339e-01
2024  02  09  1325  60349  48300  4.16934e+00  2.85340e-01  2.56340e-01  2.42340e-01  2.11340e-01  1.92340e-01
2024  02  09  1330  60349  48600  4.74634e+00  4.13340e-01  2.34340e-01  1.97340e-01  1.96340e-01  1.90340e-01
2024  02  09  1335  60349  48900  4.93534e+00  3.89339e-01  2.51339e-01  2.18339e-01  2.05339e-01  1.92339e-01
2024  02  09  1340  60349  49200  5.25034e+00  4.60340e-01  2.62340e-01  2.23340e-01  2.02340e-01  1.94340e-01
2024  02  09  1345  60349  49500  4.94767e+00  3.40674e-01  2.47674e-01  2.30674e-01  2.27674e-01  2.19674e-01
2024  02  09  1350  60349  49800  4.18434e+00  4.27340e-01  3.10340e-01  2.69340e-01  2.45340e-01  2.11340e-01
2024  02  09  1355  60349  50100  4.66967e+00  3.80673e-01  2.99673e-01  2.25673e-01  2.23673e-01  1.91673e-01
2024  02  09  1400  60349  50400  4.90501e+00  5.02005e-01  3.87005e-01  3.16005e-01  2.80005e-01  1.80005e-01
2024  02  09  1405  60349  50700  4.98934e+00  6.28340e-01  5.43340e-01  4.95340e-01  4.12340e-01  2.55340e-01
2024  02  09  1410  60349  51000  5.08601e+00  1.00201e+00  8.06006e-01  4.80006e-01  3.48006e-01  1.99006e-01
2024  02  09  1415  60349  51300  5.74801e+00  7.88006e-01  7.03006e-01  5.75006e-01  4.48006e-01  2.12006e-01
2024  02  09  1420  60349  51600  5.53001e+00  6.48007e-01  5.91007e-01  5.52007e-01  4.62007e-01  2.46007e-01
2024  02  09  1425  60349  51900  6.25634e+00  6.29340e-01  5.57340e-01  4.46340e-01  3.58340e-01  2.18340e-01
2024  02  09  1430  60349  52200  7.22934e+00  5.69340e-01  5.44340e-01  4.47340e-01  3.66340e-01  2.24340e-01
